㒵	かお
卌	しゅう,よんじゅう,しじゅう
卍	ばん,まん,まんじ
卑	ひ,いや
卒	そつ,しゅつ,そっ,お,ついに,にわか
卓	たく
協	きょう
南	なん,な,みなみ
単	たん,ひとえ
卙	しょう,しゅう,あつ
博	はく,ばく
卛	そつ,りつ,しゅつ,ひき
卜	ぼく,うらな,うらない
卞	べん,へん,はん
占	せん,し,うらな
卡	さ,か,そう
卣	ゆう,ゆ,さけつぼ
卥	せい
卦	か,かい,け,うらかた
卩	せつ,わりふ
卬	きょう,ごう,のぞ,な,たか
卭	きょう
卮	し,さかずき
卯	ぼう,もう,う
印	いん,しるし,じるし,しる
危	き,あぶ,あや
卲	しょう,たか
即	そく,つ,すなわ
却	きゃく,かえ,しりぞ
卵	らん,たまご
卷	かん,けん,ま,まき
卸	しゃ,おろ,おろし
